type,type_encoded,Air_Temperature,Process_Temperature,Rotational_Speed,Torque,Tool_Wear,temp_difference,power,wear_degree,Machine_Failure_Type
M,2,298.1,308.6,1551.0,42.8,0.0,10.5,66382.79999999999,0.0,none
L,1,298.2,308.7,1408.0,46.3,3.0,10.5,65190.399999999994,138.89999999999998,none
L,1,298.1,308.5,1498.0,49.4,5.0,10.399999999999977,74001.2,247.0,none
L,1,298.2,308.6,1433.0,39.5,7.0,10.400000000000034,56603.5,276.5,none
L,1,298.2,308.7,1408.0,40.0,9.0,10.5,56320.0,360.0,none
M,2,298.1,308.6,1425.0,41.9,11.0,10.5,59707.5,460.9,none
L,1,298.1,308.6,1558.0,42.4,14.0,10.5,66059.2,593.6,none
L,1,298.1,308.6,1527.0,40.2,16.0,10.5,61385.4,643.2,none
M,2,298.3,308.7,1667.0,28.6,18.0,10.399999999999977,47676.200000000004,514.8000000000001,none
M,2,298.5,309.0,1741.0,28.0,21.0,10.5,48748.0,588.0,none
H,0,298.4,308.9,1782.0,23.9,24.0,10.5,42589.799999999996,573.5999999999999,none
H,0,298.6,309.1,1423.0,44.3,29.0,10.5,63038.899999999994,1284.6999999999998,none
M,2,298.6,309.1,1339.0,51.1,34.0,10.5,68422.90000000001,1737.4,none
M,2,298.6,309.2,1742.0,30.0,37.0,10.599999999999966,52260.0,1110.0,none
L,1,298.6,309.2,2035.0,19.6,40.0,10.599999999999966,39886.0,784.0,none
L,1,298.6,309.2,1542.0,48.4,42.0,10.599999999999966,74632.8,2032.8,none
M,2,298.6,309.2,1311.0,46.6,44.0,10.599999999999966,61092.6,2050.4,none
M,2,298.7,309.2,1410.0,45.6,47.0,10.5,64296.0,2143.2000000000003,none
H,0,298.8,309.2,1306.0,54.5,50.0,10.399999999999977,71177.0,2725.0,none
M,2,298.9,309.3,1632.0,32.5,55.0,10.400000000000034,53040.0,1787.5,none
H,0,298.9,309.3,1375.0,42.7,58.0,10.400000000000034,58712.50000000001,2476.6000000000004,none
L,1,298.8,309.3,1450.0,44.8,63.0,10.5,64959.99999999999,2822.3999999999996,none
M,2,298.9,309.3,1581.0,30.7,65.0,10.400000000000034,48536.7,1995.5,none
L,1,299.0,309.4,1758.0,25.7,68.0,10.399999999999977,45180.6,1747.6,none
M,2,299.0,309.4,1561.0,37.3,70.0,10.399999999999977,58225.299999999996,2611.0,none
L,1,299.0,309.5,1861.0,23.3,73.0,10.5,43361.3,1700.9,none
L,1,299.1,309.5,1512.0,39.0,75.0,10.399999999999977,58968.0,2925.0,none
H,0,299.1,309.4,1811.0,24.6,77.0,10.299999999999955,44550.600000000006,1894.2,none
L,1,299.1,309.4,1439.0,44.2,82.0,10.299999999999955,63603.8,3624.4,none
L,1,299.0,309.4,1693.0,30.1,84.0,10.399999999999977,50959.3,2528.4,none
M,2,299.1,309.5,1339.0,48.2,86.0,10.399999999999977,64539.8,4145.2,none
L,1,299.0,309.4,1798.0,25.5,89.0,10.399999999999977,45849.0,2269.5,none
L,1,299.0,309.4,1419.0,48.3,91.0,10.399999999999977,68537.7,4395.3,none
L,1,298.9,309.3,1665.0,32.5,93.0,10.400000000000034,54112.5,3022.5,none
M,2,298.8,309.1,1559.0,34.7,95.0,10.300000000000011,54097.3,3296.5000000000005,none
M,2,298.8,309.2,1452.0,48.6,98.0,10.399999999999977,70567.2,4762.8,none
M,2,298.9,309.2,1581.0,36.7,101.0,10.300000000000011,58022.700000000004,3706.7000000000003,none
L,1,298.8,309.1,1439.0,39.2,104.0,10.300000000000011,56408.8,4076.8,none
H,0,298.9,309.2,1379.0,50.7,106.0,10.300000000000011,69915.3,5374.200000000001,none
L,1,298.8,309.1,1350.0,52.5,111.0,10.300000000000011,70875.0,5827.5,none
L,1,298.8,309.1,1362.0,45.4,113.0,10.300000000000011,61834.799999999996,5130.2,none
L,1,298.8,309.1,1368.0,50.8,115.0,10.300000000000011,69494.4,5842.0,none
M,2,298.8,309.1,1368.0,49.1,117.0,10.300000000000011,67168.8,5744.7,none
H,0,298.8,309.2,1372.0,48.5,120.0,10.399999999999977,66542.0,5820.0,none
M,2,298.8,309.1,1472.0,47.5,125.0,10.300000000000011,69920.0,5937.5,none
L,1,298.8,309.1,1489.0,49.1,128.0,10.300000000000011,73109.90000000001,6284.8,none
M,2,298.7,309.0,1843.0,25.8,130.0,10.300000000000011,47549.4,3354.0,none
L,1,298.8,309.1,1418.0,46.3,133.0,10.300000000000011,65653.4,6157.9,none
H,0,298.8,309.2,1425.0,53.9,135.0,10.399999999999977,76807.5,7276.5,none
M,2,298.9,309.2,1412.0,44.1,140.0,10.300000000000011,62269.200000000004,6174.0,none
L,1,298.9,309.1,2861.0,4.6,143.0,10.200000000000045,13160.599999999999,657.8,PWF
L,1,298.9,309.1,1383.0,54.9,145.0,10.200000000000045,75926.7,7960.5,none
H,0,298.8,309.0,1497.0,43.8,147.0,10.199999999999989,65568.59999999999,6438.599999999999,none
L,1,298.7,309.0,1565.0,35.1,152.0,10.300000000000011,54931.5,5335.2,none
L,1,298.7,309.0,1691.0,30.1,154.0,10.300000000000011,50899.100000000006,4635.400000000001,none
L,1,298.8,309.1,1512.0,40.7,156.0,10.300000000000011,61538.4,6349.200000000001,none
L,1,298.8,309.1,1477.0,42.4,158.0,10.300000000000011,62624.799999999996,6699.2,none
L,1,298.8,309.1,1513.0,40.3,160.0,10.300000000000011,60973.899999999994,6448.0,none
M,2,298.8,309.0,1661.0,29.5,162.0,10.199999999999989,48999.5,4779.0,none
L,1,298.8,309.1,1378.0,54.4,165.0,10.300000000000011,74963.2,8976.0,none
L,1,298.8,309.1,1393.0,52.6,167.0,10.300000000000011,73271.8,8784.2,none
M,2,298.8,309.0,1592.0,38.2,169.0,10.199999999999989,60814.4,6455.8,none
L,1,298.8,309.0,1829.0,22.9,172.0,10.199999999999989,41884.1,3938.7999999999997,none
M,2,298.9,309.0,1812.0,25.9,174.0,10.100000000000023,46930.799999999996,4506.599999999999,none
L,1,299.0,309.1,1523.0,38.6,177.0,10.100000000000023,58787.8,6832.2,none
L,1,299.0,309.1,1394.0,45.1,179.0,10.100000000000023,62869.4,8072.900000000001,none
M,2,298.9,308.9,1679.0,28.7,181.0,10.0,48187.299999999996,5194.7,none
H,0,298.8,308.9,1466.0,44.1,184.0,10.099999999999966,64650.6,8114.400000000001,none
L,1,298.8,308.9,1527.0,32.4,189.0,10.099999999999966,49474.799999999996,6123.599999999999,none
L,1,298.9,309.0,1410.0,65.7,191.0,10.100000000000023,92637.0,12548.7,OSF
M,2,298.9,309.0,1924.0,22.6,193.0,10.100000000000023,43482.4,4361.8,none
L,1,298.9,309.1,1452.0,45.5,196.0,10.200000000000045,66066.0,8918.0,none
L,1,298.9,309.1,1369.0,44.4,198.0,10.200000000000045,60783.6,8791.199999999999,none
L,1,299.0,309.1,1592.0,35.0,200.0,10.100000000000023,55720.0,7000.0,none
L,1,298.9,309.0,1601.0,32.3,202.0,10.100000000000023,51712.299999999996,6524.599999999999,none
L,1,298.8,308.9,1379.0,46.7,204.0,10.099999999999966,64399.3,9526.800000000001,none
L,1,298.8,308.9,1461.0,47.9,206.0,10.099999999999966,69981.9,9867.4,none
L,1,298.8,308.9,1455.0,41.3,208.0,10.099999999999966,60091.49999999999,8590.4,TWF
L,1,298.8,308.9,1398.0,51.5,0.0,10.099999999999966,71997.0,0.0,none
L,1,298.8,308.9,1402.0,37.9,2.0,10.099999999999966,53135.799999999996,75.8,none
H,0,298.8,308.8,1445.0,49.9,4.0,10.0,72105.5,199.6,none
L,1,298.9,308.9,1450.0,47.5,9.0,10.0,68875.0,427.5,none
L,1,298.9,308.9,1453.0,40.8,11.0,10.0,59282.399999999994,448.79999999999995,none
L,1,299.0,309.0,1469.0,40.1,13.0,10.0,58906.9,521.3000000000001,none
L,1,298.9,308.9,1422.0,47.6,15.0,10.0,67687.2,714.0,none
M,2,299.0,309.0,1804.0,26.8,17.0,10.0,48347.200000000004,455.6,none
H,0,299.0,309.0,1436.0,43.9,20.0,10.0,63040.4,878.0,none
L,1,299.0,309.0,1544.0,31.8,25.0,10.0,49099.200000000004,795.0,none
M,2,299.0,309.0,1419.0,45.2,27.0,10.0,64138.8,1220.4,none
M,2,298.9,308.9,1487.0,39.5,30.0,10.0,58736.5,1185.0,none
L,1,298.9,308.9,1753.0,25.8,33.0,10.0,45227.4,851.4,none
L,1,298.9,308.9,1830.0,24.9,35.0,10.0,45567.0,871.5,none
M,2,298.9,308.9,1727.0,27.1,37.0,10.0,46801.700000000004,1002.7,none
L,1,299.1,309.0,1450.0,43.0,40.0,9.899999999999977,62350.0,1720.0,none
L,1,299.0,308.9,1622.0,31.9,42.0,9.899999999999977,51741.799999999996,1339.8,none
M,2,299.0,309.0,1351.0,52.2,44.0,10.0,70522.2,2296.8,none
M,2,299.0,309.0,1575.0,35.3,47.0,10.0,55597.49999999999,1659.1,none
M,2,298.9,308.9,1750.0,29.9,50.0,10.0,52325.0,1495.0,none
L,1,298.9,308.8,1529.0,32.7,53.0,9.900000000000034,49998.3,1733.1000000000001,none
L,1,298.8,308.8,1523.0,44.4,55.0,10.0,67621.2,2442.0,none
L,1,298.8,308.9,1852.0,25.0,57.0,10.099999999999966,46300.0,1425.0,none
L,1,298.8,308.8,1991.0,20.7,59.0,10.0,41213.7,1221.3,none
L,1,298.8,308.8,1555.0,40.6,61.0,10.0,63133.0,2476.6,none
M,2,298.8,308.8,1441.0,40.5,63.0,10.0,58360.5,2551.5,none
L,1,298.8,308.7,1450.0,43.4,66.0,9.899999999999977,62930.0,2864.4,none
L,1,298.8,308.7,1591.0,31.1,68.0,9.899999999999977,49480.100000000006,2114.8,none
L,1,298.8,308.7,1445.0,48.5,70.0,9.899999999999977,70082.5,3395.0,none
M,2,298.8,308.8,1497.0,46.8,72.0,10.0,70059.59999999999,3369.6,none
H,0,298.9,308.8,1621.0,32.7,75.0,9.900000000000034,53006.700000000004,2452.5,none
L,1,298.9,308.7,1572.0,34.1,80.0,9.800000000000011,53605.200000000004,2728.0,none
L,1,298.8,308.6,1872.0,22.5,82.0,9.800000000000011,42120.0,1845.0,none
H,0,298.7,308.6,1499.0,43.5,84.0,9.900000000000034,65206.5,3654.0,none
M,2,298.8,308.7,1498.0,39.5,89.0,9.899999999999977,59171.0,3515.5,none
M,2,298.8,308.6,1486.0,41.9,92.0,9.800000000000011,62263.4,3854.7999999999997,none
L,1,298.8,308.6,1680.0,29.4,95.0,9.800000000000011,49392.0,2793.0,none
L,1,298.8,308.6,1431.0,45.7,97.0,9.800000000000011,65396.700000000004,4432.900000000001,none
L,1,298.9,308.7,1564.0,34.1,99.0,9.800000000000011,53332.4,3375.9,none
L,1,298.8,308.6,1599.0,33.0,101.0,9.800000000000011,52767.0,3333.0,none
M,2,298.8,308.6,1707.0,28.1,103.0,9.800000000000011,47966.700000000004,2894.3,none
L,1,298.7,308.5,1467.0,40.7,106.0,9.800000000000011,59706.9,4314.200000000001,none
L,1,298.9,308.7,1433.0,44.7,108.0,9.800000000000011,64055.100000000006,4827.6,none
L,1,298.9,308.7,1558.0,41.2,110.0,9.800000000000011,64189.600000000006,4532.0,none
L,1,299.0,308.8,1310.0,50.7,112.0,9.800000000000011,66417.0,5678.400000000001,none
L,1,298.9,308.7,1546.0,43.4,114.0,9.800000000000011,67096.4,4947.599999999999,none
L,1,298.9,308.7,1727.0,29.4,116.0,9.800000000000011,50773.799999999996,3410.3999999999996,none
L,1,298.9,308.6,1560.0,32.2,118.0,9.700000000000045,50232.00000000001,3799.6000000000004,none
L,1,299.0,308.6,1329.0,60.5,120.0,9.600000000000023,80404.5,7260.0,none
L,1,298.9,308.6,1413.0,46.5,122.0,9.700000000000045,65704.5,5673.0,none
L,1,299.0,308.6,1587.0,38.6,124.0,9.600000000000023,61258.200000000004,4786.400000000001,none
L,1,298.9,308.5,1559.0,34.3,126.0,9.600000000000023,53473.7,4321.799999999999,none
L,1,298.8,308.4,1473.0,41.1,128.0,9.599999999999966,60540.3,5260.8,none
L,1,298.8,308.4,1737.0,27.7,130.0,9.599999999999966,48114.9,3601.0,none
M,2,298.7,308.4,1441.0,43.2,132.0,9.699999999999989,62251.200000000004,5702.400000000001,none
M,2,298.7,308.4,1430.0,49.6,135.0,9.699999999999989,70928.0,6696.0,none
L,1,298.8,308.4,1369.0,53.0,138.0,9.599999999999966,72557.0,7314.0,none
M,2,298.8,308.5,1711.0,28.5,140.0,9.699999999999989,48763.5,3990.0,none
H,0,298.7,308.5,1420.0,45.7,143.0,9.800000000000011,64894.00000000001,6535.1,none
L,1,298.7,308.6,1297.0,55.3,148.0,9.900000000000034,71724.09999999999,8184.4,none
H,0,298.8,308.6,1449.0,49.4,150.0,9.800000000000011,71580.59999999999,7410.0,none
L,1,298.8,308.6,1268.0,55.8,155.0,9.800000000000011,70754.4,8649.0,none
L,1,298.8,308.6,1511.0,36.1,157.0,9.800000000000011,54547.1,5667.7,none
L,1,298.7,308.5,1544.0,35.2,159.0,9.800000000000011,54348.8,5596.8,none
M,2,298.6,308.4,1778.0,28.2,161.0,9.799999999999955,50139.6,4540.2,none
H,0,298.6,308.4,1407.0,50.5,164.0,9.799999999999955,71053.5,8282.0,none
M,2,298.6,308.4,1391.0,42.4,169.0,9.799999999999955,58978.4,7165.599999999999,none
L,1,298.5,308.4,1513.0,33.6,172.0,9.899999999999977,50836.8,5779.2,none
H,0,298.5,308.4,1612.0,36.1,174.0,9.899999999999977,58193.200000000004,6281.400000000001,none
L,1,298.4,308.4,1515.0,40.1,179.0,10.0,60751.5,7177.900000000001,none
M,2,298.3,308.3,1379.0,48.0,181.0,10.0,66192.0,8688.0,none
L,1,298.4,308.3,1473.0,39.9,184.0,9.900000000000034,58772.7,7341.599999999999,none
L,1,298.4,308.3,1422.0,42.7,186.0,9.900000000000034,60719.4,7942.200000000001,none
M,2,298.4,308.2,1463.0,37.6,188.0,9.800000000000011,55008.8,7068.8,none
M,2,298.4,308.2,1584.0,41.0,191.0,9.800000000000011,64944.0,7831.0,none
L,1,298.4,308.2,1850.0,27.0,194.0,9.800000000000011,49950.0,5238.0,none
L,1,298.4,308.2,1528.0,36.2,196.0,9.800000000000011,55313.600000000006,7095.200000000001,none
H,0,298.4,308.2,1987.0,19.8,198.0,9.800000000000011,39342.6,3920.4,none
M,2,298.4,308.1,1495.0,46.0,203.0,9.700000000000045,68770.0,9338.0,none
H,0,298.4,308.2,1478.0,43.5,206.0,9.800000000000011,64293.0,8961.0,none
M,2,298.4,308.2,1499.0,40.0,211.0,9.800000000000011,59960.0,8440.0,none
L,1,298.4,308.2,1471.0,47.0,214.0,9.800000000000011,69137.0,10058.0,none
L,1,298.4,308.2,1282.0,60.7,216.0,9.800000000000011,77817.40000000001,13111.2,OSF
L,1,298.3,308.1,1412.0,52.3,218.0,9.800000000000011,73847.59999999999,11401.4,OSF
L,1,298.3,308.1,1586.0,35.5,0.0,9.800000000000011,56303.0,0.0,none
M,2,298.4,308.2,1468.0,43.8,2.0,9.800000000000011,64298.399999999994,87.6,none
M,2,298.5,308.3,1440.0,43.6,5.0,9.800000000000011,62784.0,218.0,none
L,1,298.5,308.4,1733.0,26.0,8.0,9.899999999999977,45058.0,208.0,none
H,0,298.4,308.2,1612.0,32.6,10.0,9.800000000000011,52551.200000000004,326.0,none
H,0,298.4,308.3,1458.0,42.9,15.0,9.900000000000034,62548.2,643.5,none
L,1,298.4,308.3,1433.0,62.3,20.0,9.900000000000034,89275.9,1246.0,PWF
